Record Date,Unrestricted Primary Accounts Count,Funded Accounts Count,Transactions Month,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2023-02-28,20719,null,202302,1,2023,2,2023,1,02,28
2023-01-31,82288,3907304,202301,1,2023,2,2023,1,01,31
2022-12-31,113565,3843470,202212,1,2023,1,2022,4,12,31
2022-11-30,118069,3752656,202211,1,2023,1,2022,4,11,30
2022-10-31,675546,3641175,202210,1,2023,1,2022,4,10,31
2022-09-30,249953,3019421,202209,1,2022,4,2022,3,09,30
2022-08-31,214416,2796384,202208,1,2022,4,2022,3,08,31
2022-07-31,235019,2580979,202207,1,2022,4,2022,3,07,31
2022-06-30,324825,2354245,202206,1,2022,3,2022,2,06,30
2022-05-31,460134,2062206,202205,1,2022,3,2022,2,05,31
2022-04-30,393281,1618452,202204,1,2022,3,2022,2,04,30
2022-03-31,79599,1304912,202203,1,2022,2,2022,1,03,31
2022-02-28,66840,1235395,202202,1,2022,2,2022,1,02,28
2022-01-31,97311,1174481,202201,1,2022,2,2022,1,01,31
2021-12-31,279963,1101176,202112,1,2022,1,2021,4,12,31
2021-11-30,118218,821587,202111,1,2022,1,2021,4,11,30
2021-10-31,30611,723819,202110,1,2022,1,2021,4,10,31
2021-09-30,11388,703693,202109,1,2021,4,2021,3,09,30
2021-08-31,14241,698036,202108,1,2021,4,2021,3,08,31
2021-07-31,17568,690453,202107,1,2021,4,2021,3,07,31
2021-06-30,35191,679739,202106,1,2021,3,2021,2,06,30
2021-05-31,13626,655006,202105,1,2021,3,2021,2,05,31
2021-04-30,8846,649555,202104,1,2021,3,2021,2,04,30
2021-03-31,10586,648692,202103,1,2021,2,2021,1,03,31
2021-02-28,8632,647459,202102,1,2021,2,2021,1,02,28
2021-01-31,9203,647220,202101,1,2021,2,2021,1,01,31
2020-12-31,10750,647615,202012,1,2021,1,2020,4,12,31
2020-11-30,7309,645283,202011,1,2021,1,2020,4,11,30
2020-10-31,7290,645184,202010,1,2021,1,2020,4,10,31
2020-09-30,7270,645187,202009,1,2020,4,2020,3,09,30
