Record Date,Outstanding Certificates of Indebtedness Amount,Transactions Month,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2023-02-28,null,202302,1,2023,2,2023,1,02,28
2023-01-31,1282980107.51,202301,1,2023,2,2023,1,01,31
2022-12-31,1275101025.55,202212,1,2023,1,2022,4,12,31
2022-11-30,1236087234.22,202211,1,2023,1,2022,4,11,30
2022-10-31,1247841383.48,202210,1,2023,1,2022,4,10,31
2022-09-30,1184231129.60,202209,1,2022,4,2022,3,09,30
2022-08-31,1253972463.67,202208,1,2022,4,2022,3,08,31
2022-07-31,1302576666.38,202207,1,2022,4,2022,3,07,31
2022-06-30,1249446654.15,202206,1,2022,3,2022,2,06,30
2022-05-31,1261873827.18,202205,1,2022,3,2022,2,05,31
2022-04-30,1318079535.65,202204,1,2022,3,2022,2,04,30
2022-03-31,1542572335.09,202203,1,2022,2,2022,1,03,31
2022-02-28,1660690259.87,202202,1,2022,2,2022,1,02,28
2022-01-31,1698052292.84,202201,1,2022,2,2022,1,01,31
2021-12-31,1515940226.13,202112,1,2022,1,2021,4,12,31
2021-11-30,1577718886.88,202111,1,2022,1,2021,4,11,30
2021-10-31,1504765254.66,202110,1,2022,1,2021,4,10,31
2021-09-30,1510295434.25,202109,1,2021,4,2021,3,09,30
2021-08-31,1509314982.61,202108,1,2021,4,2021,3,08,31
2021-07-31,1524617831.86,202107,1,2021,4,2021,3,07,31
2021-06-30,1501162034.53,202106,1,2021,3,2021,2,06,30
2021-05-31,1465670486.67,202105,1,2021,3,2021,2,05,31
2021-04-30,1422291785.88,202104,1,2021,3,2021,2,04,30
2021-03-31,1395311994.29,202103,1,2021,2,2021,1,03,31
2021-02-28,1422024732.03,202102,1,2021,2,2021,1,02,28
2021-01-31,1396624071.75,202101,1,2021,2,2021,1,01,31
2020-12-31,1389019912.98,202012,1,2021,1,2020,4,12,31
2020-11-30,1347036495.92,202011,1,2021,1,2020,4,11,30
2020-10-31,1314866237.76,202010,1,2021,1,2020,4,10,31
2020-09-30,1204060900.76,202009,1,2020,4,2020,3,09,30
2020-08-31,1155098750.97,202008,1,2020,4,2020,3,08,31
2020-07-31,1070006716.33,202007,1,2020,4,2020,3,07,31
2020-06-30,1037856469.92,202006,1,2020,3,2020,2,06,30
2020-05-31,1089107929.84,202005,1,2020,3,2020,2,05,31
2020-04-30,1110792833.68,202004,1,2020,3,2020,2,04,30
2020-03-31,839754338.85,202003,1,2020,2,2020,1,03,31
2020-02-29,726726483.51,202002,1,2020,2,2020,1,02,29
2020-01-31,767067784.94,202001,1,2020,2,2020,1,01,31
2019-12-31,768181974.09,201912,1,2020,1,2019,4,12,31
2019-11-30,690689438.38,201911,1,2020,1,2019,4,11,30
2019-10-31,731388461.23,201910,1,2020,1,2019,4,10,31
2019-09-30,676625972.11,201909,1,2019,4,2019,3,09,30
2019-08-31,677935829.54,201908,1,2019,4,2019,3,08,31
2019-07-31,645992494.64,201907,1,2019,4,2019,3,07,31
2019-06-30,624399640.22,201906,1,2019,3,2019,2,06,30
2019-05-31,645644855.88,201905,1,2019,3,2019,2,05,31
