Record Date,Security Class Description,Paper Savings Bonds Conversions Count,Paper Savings Bonds Conversions Amount,Transactions Month,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2023-01-31,E,500,82963.04,202301,1,2023,2,2023,1,01,31
2023-01-31,EE,30534,18093668.44,202301,2,2023,2,2023,1,01,31
2023-01-31,I,12448,45405643.56,202301,3,2023,2,2023,1,01,31
2022-12-31,E,65,24805.82,202212,1,2023,1,2022,4,12,31
2022-12-31,EE,22299,15326219.40,202212,2,2023,1,2022,4,12,31
2022-12-31,I,9548,34739482.54,202212,3,2023,1,2022,4,12,31
2022-11-30,E,115,59179.06,202211,1,2023,1,2022,4,11,30
2022-11-30,EE,32256,18717333.13,202211,2,2023,1,2022,4,11,30
2022-11-30,I,12735,42681395.57,202211,3,2023,1,2022,4,11,30
2022-10-31,E,114,36202.68,202210,1,2023,1,2022,4,10,31
2022-10-31,EE,28000,15638308.21,202210,2,2023,1,2022,4,10,31
2022-10-31,I,10473,30797433.45,202210,3,2023,1,2022,4,10,31
2022-09-30,E,474,373677.05,202209,1,2022,4,2022,3,09,30
2022-09-30,EE,56675,26892887.46,202209,2,2022,4,2022,3,09,30
2022-09-30,I,15988,46608399.13,202209,3,2022,4,2022,3,09,30
2022-08-31,E,496,207750.26,202208,1,2022,4,2022,3,08,31
2022-08-31,EE,53619,26148510.87,202208,2,2022,4,2022,3,08,31
2022-08-31,I,21414,50410302.52,202208,3,2022,4,2022,3,08,31
2022-07-31,E,494,185856.48,202207,1,2022,4,2022,3,07,31
2022-07-31,EE,40950,25057516.91,202207,2,2022,4,2022,3,07,31
2022-07-31,I,18607,51127629.66,202207,3,2022,4,2022,3,07,31
2022-06-30,E,69,22062.31,202206,1,2022,3,2022,2,06,30
2022-06-30,EE,34548,20474971.36,202206,2,2022,3,2022,2,06,30
2022-06-30,I,18825,45110731.02,202206,3,2022,3,2022,2,06,30
2022-05-31,E,151,44545.88,202205,1,2022,3,2022,2,05,31
2022-05-31,EE,40656,25159387.31,202205,2,2022,3,2022,2,05,31
2022-05-31,I,19885,36662249.62,202205,3,2022,3,2022,2,05,31
2022-04-30,E,170,34977.83,202204,1,2022,3,2022,2,04,30
2022-04-30,EE,33099,22514885.54,202204,2,2022,3,2022,2,04,30
2022-04-30,I,18569,37579837.32,202204,3,2022,3,2022,2,04,30
2022-03-31,E,154,122730.53,202203,1,2022,2,2022,1,03,31
2022-03-31,EE,48112,27332500.43,202203,2,2022,2,2022,1,03,31
2022-03-31,I,16416,43104262.64,202203,3,2022,2,2022,1,03,31
2022-02-28,E,284,192842.03,202202,1,2022,2,2022,1,02,28
2022-02-28,EE,42741,24613112.01,202202,2,2022,2,2022,1,02,28
2022-02-28,I,14406,41731469.44,202202,3,2022,2,2022,1,02,28
2022-01-31,E,226,57197.87,202201,1,2022,2,2022,1,01,31
2022-01-31,EE,40099,24230899.33,202201,2,2022,2,2022,1,01,31
2022-01-31,I,11956,33812003.57,202201,3,2022,2,2022,1,01,31
2021-12-31,E,261,96072.64,202112,1,2022,1,2021,4,12,31
2021-12-31,I,14134,40536620.80,202112,3,2022,1,2021,4,12,31
2021-12-31,EE,39533,26185217.00,202112,2,2022,1,2021,4,12,31
2021-11-30,E,42,9730.04,202111,1,2022,1,2021,4,11,30
2021-11-30,EE,32578,22159370.99,202111,2,2022,1,2021,4,11,30
2021-11-30,I,9710,32029668.97,202111,3,2022,1,2021,4,11,30
2021-10-31,E,487,129923.36,202110,1,2022,1,2021,4,10,31
2021-10-31,EE,38457,24802794.25,202110,2,2022,1,2021,4,10,31
2021-10-31,I,10611,37692811.46,202110,3,2022,1,2021,4,10,31
2021-09-30,E,248,160802.43,202109,1,2021,4,2021,3,09,30
2021-09-30,EE,43872,29169058.08,202109,2,2021,4,2021,3,09,30
2021-09-30,I,12924,40605792.47,202109,3,2021,4,2021,3,09,30
2021-08-31,E,337,180390.89,202108,1,2021,4,2021,3,08,31
2021-08-31,EE,35360,24777496.59,202108,2,2021,4,2021,3,08,31
2021-08-31,I,8890,27775607.18,202108,3,2021,4,2021,3,08,31
2021-07-31,E,577,204879.07,202107,1,2021,4,2021,3,07,31
2021-07-31,EE,40543,31982023.48,202107,2,2021,4,2021,3,07,31
2021-07-31,I,11901,38940591.62,202107,3,2021,4,2021,3,07,31
2021-06-30,E,134,35042.76,202106,1,2021,3,2021,2,06,30
2021-06-30,EE,40527,29710472.08,202106,2,2021,3,2021,2,06,30
2021-06-30,I,12958,33805018.23,202106,3,2021,3,2021,2,06,30
2021-05-31,E,277,102432.95,202105,1,2021,3,2021,2,05,31
2021-05-31,EE,41984,28059487.98,202105,2,2021,3,2021,2,05,31
2021-05-31,I,11734,36339455.48,202105,3,2021,3,2021,2,05,31
2021-04-30,E,211,322282.04,202104,1,2021,3,2021,2,04,30
2021-04-30,EE,47926,35234573.39,202104,2,2021,3,2021,2,04,30
2021-04-30,I,15280,39266854.40,202104,3,2021,3,2021,2,04,30
2021-03-31,E,264,474269.43,202103,1,2021,2,2021,1,03,31
2021-03-31,EE,54115,33686501.35,202103,2,2021,2,2021,1,03,31
2021-03-31,I,12252,41155065.66,202103,3,2021,2,2021,1,03,31
2021-02-28,E,255,48011.99,202102,1,2021,2,2021,1,02,28
2021-02-28,EE,53900,36382413.44,202102,2,2021,2,2021,1,02,28
2021-02-28,I,11920,37629244.46,202102,3,2021,2,2021,1,02,28
2021-01-31,EE,42064,28357281.50,202101,2,2021,2,2021,1,01,31
2021-01-31,I,8911,28695702.40,202101,3,2021,2,2021,1,01,31
2021-01-31,E,136,48433.00,202101,1,2021,2,2021,1,01,31
2020-12-31,E,372,186454.90,202012,1,2021,1,2020,4,12,31
2020-12-31,EE,44248,33171747.92,202012,2,2021,1,2020,4,12,31
2020-12-31,I,12753,37930718.08,202012,3,2021,1,2020,4,12,31
2020-11-30,E,191,39941.97,202011,1,2021,1,2020,4,11,30
2020-11-30,EE,35689,30761711.09,202011,2,2021,1,2020,4,11,30
2020-11-30,I,10576,37459417.74,202011,3,2021,1,2020,4,11,30
2020-10-31,E,256,124789.30,202010,1,2021,1,2020,4,10,31
2020-10-31,EE,44236,32571549.68,202010,2,2021,1,2020,4,10,31
2020-10-31,I,11055,34879123.43,202010,3,2021,1,2020,4,10,31
2020-09-30,E,445,196911.71,202009,1,2020,4,2020,3,09,30
2020-09-30,EE,52628,37526106.93,202009,2,2020,4,2020,3,09,30
2020-09-30,I,12445,38730686.31,202009,3,2020,4,2020,3,09,30
2020-08-31,E,83,48780.10,202008,1,2020,4,2020,3,08,31
2020-08-31,EE,53056,33103797.87,202008,2,2020,4,2020,3,08,31
2020-08-31,I,13347,37587204.26,202008,3,2020,4,2020,3,08,31
2020-07-31,E,207,52199.29,202007,1,2020,4,2020,3,07,31
2020-07-31,EE,46082,29750438.23,202007,2,2020,4,2020,3,07,31
2020-07-31,I,12408,32046661.30,202007,3,2020,4,2020,3,07,31
2020-06-30,E,276,81606.45,202006,1,2020,3,2020,2,06,30
2020-06-30,EE,44622,28536861.81,202006,2,2020,3,2020,2,06,30
2020-06-30,I,12490,32635251.35,202006,3,2020,3,2020,2,06,30
2020-05-31,E,195,116546.31,202005,1,2020,3,2020,2,05,31
2020-05-31,EE,34083,19144406.07,202005,2,2020,3,2020,2,05,31
2020-05-31,I,8916,21094679.86,202005,3,2020,3,2020,2,05,31
2020-04-30,E,133,22295.49,202004,1,2020,3,2020,2,04,30
2020-04-30,EE,49496,31419282.60,202004,2,2020,3,2020,2,04,30
2020-04-30,I,11238,29390377.80,202004,3,2020,3,2020,2,04,30
2020-03-31,E,296,127247.31,202003,1,2020,2,2020,1,03,31
2020-03-31,EE,57049,41771647.75,202003,2,2020,2,2020,1,03,31
2020-03-31,I,13191,35055240.40,202003,3,2020,2,2020,1,03,31
2020-02-29,E,346,93672.20,202002,1,2020,2,2020,1,02,29
2020-02-29,EE,57498,35806776.73,202002,2,2020,2,2020,1,02,29
2020-02-29,I,13504,39156767.36,202002,3,2020,2,2020,1,02,29
2020-01-31,E,562,235479.60,202001,1,2020,2,2020,1,01,31
2020-01-31,EE,61342,36426519.65,202001,2,2020,2,2020,1,01,31
2020-01-31,I,13690,38674775.23,202001,3,2020,2,2020,1,01,31
2019-12-31,E,383,127759.62,201912,1,2020,1,2019,4,12,31
2019-12-31,EE,39686,30692510.38,201912,2,2020,1,2019,4,12,31
2019-12-31,I,11133,28559525.20,201912,3,2020,1,2019,4,12,31
2019-11-30,E,341,119417.98,201911,1,2020,1,2019,4,11,30
2019-11-30,EE,39769,36448844.60,201911,2,2020,1,2019,4,11,30
2019-11-30,I,9520,31877361.56,201911,3,2020,1,2019,4,11,30
2019-10-31,E,735,639087.93,201910,1,2020,1,2019,4,10,31
2019-10-31,EE,46416,34493813.88,201910,2,2020,1,2019,4,10,31
2019-10-31,I,11009,33927593.79,201910,3,2020,1,2019,4,10,31
2019-09-30,E,443,123931.53,201909,1,2019,4,2019,3,09,30
2019-09-30,EE,60861,49899061.17,201909,2,2019,4,2019,3,09,30
2019-09-30,I,12693,41582003.65,201909,3,2019,4,2019,3,09,30
2019-08-31,E,383,182815.04,201908,1,2019,4,2019,3,08,31
2019-08-31,EE,53800,44293100.43,201908,2,2019,4,2019,3,08,31
2019-08-31,I,13225,39363331.72,201908,3,2019,4,2019,3,08,31
2019-07-31,E,388,176987.80,201907,1,2019,4,2019,3,07,31
2019-07-31,EE,58984,46570081.26,201907,2,2019,4,2019,3,07,31
2019-07-31,I,15106,47351847.13,201907,3,2019,4,2019,3,07,31
