Record Date,Security Type Description,Security Class Description,Securities Outstanding Amount,Transactions Month,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2023-01-31,Savings Bond,E,60111.04,202301,1,2023,2,2023,1,01,31
2023-01-31,Savings Bond,EE,3024324789.69,202301,2,2023,2,2023,1,01,31
2023-01-31,Savings Bond,I,57335954131.36,202301,3,2023,2,2023,1,01,31
2023-01-31,Marketable,Bond,732071000.00,202301,4,2023,2,2023,1,01,31
2023-01-31,Marketable,Bill,50495888800.00,202301,5,2023,2,2023,1,01,31
2023-01-31,Marketable,Note,11382135700.00,202301,6,2023,2,2023,1,01,31
2023-01-31,Marketable,TIPS,86772900.00,202301,7,2023,2,2023,1,01,31
2022-12-31,Marketable,Bond,686368400.00,202212,4,2023,1,2022,4,12,31
2022-12-31,Marketable,Bill,45541483100.00,202212,5,2023,1,2022,4,12,31
2022-12-31,Marketable,Note,10604515800.00,202212,6,2023,1,2022,4,12,31
2022-12-31,Marketable,TIPS,106065300.00,202212,7,2023,1,2022,4,12,31
2022-12-31,Savings Bond,E,256.26,202212,1,2023,1,2022,4,12,31
2022-12-31,Savings Bond,EE,3312608885.17,202212,2,2023,1,2022,4,12,31
2022-12-31,Savings Bond,I,52775634303.01,202212,3,2023,1,2022,4,12,31
2022-11-30,Savings Bond,E,0.00,202211,1,2023,1,2022,4,11,30
2022-11-30,Savings Bond,EE,3412807904.52,202211,2,2023,1,2022,4,11,30
2022-11-30,Savings Bond,I,51508679293.77,202211,3,2023,1,2022,4,11,30
2022-11-30,Marketable,Bond,687392200.00,202211,4,2023,1,2022,4,11,30
2022-11-30,Marketable,Bill,41034516100.00,202211,5,2023,1,2022,4,11,30
2022-11-30,Marketable,Note,10443870900.00,202211,6,2023,1,2022,4,11,30
2022-11-30,Marketable,TIPS,106065300.00,202211,7,2023,1,2022,4,11,30
2022-10-31,Savings Bond,EE,3504368713.99,202210,1,2023,1,2022,4,10,31
2022-10-31,Savings Bond,I,50176973168.43,202210,2,2023,1,2022,4,10,31
2022-10-31,Marketable,Bond,637360500.00,202210,3,2023,1,2022,4,10,31
2022-10-31,Marketable,Bill,35349540800.00,202210,4,2023,1,2022,4,10,31
2022-10-31,Marketable,Note,9757147300.00,202210,5,2023,1,2022,4,10,31
2022-10-31,Marketable,TIPS,106120300.00,202210,6,2023,1,2022,4,10,31
2022-09-30,Savings Bond,E,0.00,202209,1,2022,4,2022,3,09,30
2022-09-30,Savings Bond,EE,3740796168.96,202209,2,2022,4,2022,3,09,30
2022-09-30,Savings Bond,I,43104734822.77,202209,3,2022,4,2022,3,09,30
2022-09-30,Marketable,Bond,622882800.00,202209,4,2022,4,2022,3,09,30
2022-09-30,Marketable,Bill,29840887600.00,202209,5,2022,4,2022,3,09,30
2022-09-30,Marketable,Note,8835379600.00,202209,6,2022,4,2022,3,09,30
2022-09-30,Marketable,TIPS,106120300.00,202209,7,2022,4,2022,3,09,30
2022-08-31,Savings Bond,E,4989.74,202208,1,2022,4,2022,3,08,31
2022-08-31,Savings Bond,EE,3874607029.65,202208,2,2022,4,2022,3,08,31
2022-08-31,Savings Bond,I,40485022505.01,202208,3,2022,4,2022,3,08,31
2022-08-31,Marketable,Bond,615738100.00,202208,4,2022,4,2022,3,08,31
2022-08-31,Marketable,Bill,25554967900.00,202208,5,2022,4,2022,3,08,31
2022-08-31,Marketable,Note,8087116700.00,202208,6,2022,4,2022,3,08,31
2022-08-31,Marketable,TIPS,106761300.00,202208,7,2022,4,2022,3,08,31
