Record Date,From Legacy Treasury Direct/Legacy Holding System Count,From Legacy Treasury Direct/Legacy Holding System Amount,From Commercial Book Entry Count,From Commercial Book Entry Amount,Total Incoming Transfers Count,Total Incoming Transfers Amount,Transactions Month,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2023-01-31,7,73000.00,9,665000.00,16,738000.00,202301,1,2023,2,2023,1,01,31
2022-12-31,0,0.00,6,1280000.00,6,1280000.00,202212,1,2023,1,2022,4,12,31
2022-11-30,6,115000.00,12,8492000.00,18,8607000.00,202211,1,2023,1,2022,4,11,30
2022-10-31,4,60000.00,9,126000.00,13,186000.00,202210,1,2023,1,2022,4,10,31
2022-09-30,15,350000.00,2,4951000.00,17,5301000.00,202209,1,2022,4,2022,3,09,30
2022-08-31,4,97000.00,9,4690000.00,13,4787000.00,202208,1,2022,4,2022,3,08,31
2022-07-31,2,31000.00,23,8802000.00,25,8833000.00,202207,1,2022,4,2022,3,07,31
2022-06-30,7,55000.00,20,553000.00,27,608000.00,202206,1,2022,3,2022,2,06,30
2022-05-31,6,281000.00,16,333000.00,22,614000.00,202205,1,2022,3,2022,2,05,31
2022-04-30,8,132000.00,39,1765000.00,47,1897000.00,202204,1,2022,3,2022,2,04,30
2022-03-31,24,658000.00,43,1472000.00,67,2130000.00,202203,1,2022,2,2022,1,03,31
2022-02-28,7,160000.00,15,581000.00,22,741000.00,202202,1,2022,2,2022,1,02,28
2022-01-31,5,107000.00,5,775000.00,10,882000.00,202201,1,2022,2,2022,1,01,31
2021-12-31,27,359700.00,3,365000.00,30,724700.00,202112,1,2022,1,2021,4,12,31
2021-11-30,8,189000.00,13,1625000.00,21,1814000.00,202111,1,2022,1,2021,4,11,30
2021-10-31,23,1060500.00,5,394900.00,28,1455400.00,202110,1,2022,1,2021,4,10,31
2021-09-30,15,551000.00,18,301300.00,33,852300.00,202109,1,2021,4,2021,3,09,30
2021-08-31,5,105000.00,4,272000.00,9,377000.00,202108,1,2021,4,2021,3,08,31
2021-07-31,16,592000.00,1,10000.00,17,602000.00,202107,1,2021,4,2021,3,07,31
2021-06-30,13,239000.00,3,120000.00,16,359000.00,202106,1,2021,3,2021,2,06,30
2021-05-31,44,1846000.00,12,550800.00,56,2396800.00,202105,1,2021,3,2021,2,05,31
